country_iso3c,year,recipient,civ_soc_aid,gov_aid,other_aid,dem_aid,dem_aid_all,country_id,elec_dem,lib_dem,delib_dem,egal_dem,participatory_dem,corruption_index,civ_soc_strength,civ_soc_part,GDPpc_vdem,exchange_rate,gini_vdem,pop_mil_vdem,pop_vdem,iso2c,country,GDPpc_WB_2010,GDPpc_ppp_WB_2011,GDPpc_growth_WB,GINI_WB,pop_WB,region,elec_dem2,lib_dem2,egal_dem2,delib_dem2,participatory_dem2,civ_soc_aid_cumul,gov_aid_cumul,other_aid_cumul,civ_soc_strength_l1,civ_soc_aid_l1,gov_aid_l1,other_aid_l1,elec_dem_l1,elec_dem2_l1,lib_dem_l1,lib_dem2_l1,delib_dem_l1,delib_dem2_l1,egal_dem_l1,egal_dem2_l1,participatory_dem_l1,participatory_dem2_l1,GDPpc_ppp_WB_2011_l1,civ_soc_aid_cumul_l1,gov_aid_cumul_l1,other_aid_cumul_l1,EU_accession,civ_soc_str_3yr,civ_soc_str_2yr,civ_soc_str_4yr,civ_soc_str_diff1,civ_soc_aid_diff1,civ_soc_cumul_diff1,gov_aid_diff1,gov_cumul_diff1,other_aid_diff1,other_cumul_diff1,civ_soc_cumul_diff1_l1,gov_cumul_diff1_l1,other_cumul_diff1_l1,civ_soc_str_3yr_l1,civ_soc_str_2yr_l1,civ_soc_aid_l1_log,gov_aid_l1_log,other_aid_l1_log,GDPpc_ppp_WB_2011_l1_log
TKM,2003,Turkmenistan,1.76852,0.08071,28.78911,1.84923,1.84923,136,0.151401793880101,0.0300959559997694,0.00458181998249783,0.128218888923621,0.0399161163178694,0.896599571590685,0.0654310854933026,0.12662632115798,2483.25,1.95146048069,26.5,4703861,4697763,TM,Turkmenistan,2495.28835659182,5588.66585244217,2.25429339759202,NA,4655741,Europe & Central Asia,0.02292250319011259,9.057665675400558e-4,0.016440083476807858,2.0993074352016413e-5,0.0015932963419016796,7.515413,18.764927,1331.568167,0.0707074644150886,1.31126,6.988329,30.403402,0.152667950692323,0.023307503168593566,0.0302797027477582,9.168603984925956e-4,0.00462125996729221,2.1356043685297598e-5,0.128507175316702,0.016514094107877582,0.0401020012536655,0.001608170504548989,5465.45838492272,7.022809,19.42649,1568.809018,no leverage,0.06894867144115993,0.0680692749541956,0.06986310228574358,-0.005276378921786007,0.45726,0.49260400000000004,-6.907619,-0.661563000000001,-1.614291999999999,-237.24085100000002,1.803864,6.988329000000002,30.403401999999915,0.07134044121655723,0.0707074644150886,0.27098850701006194,1.9442414718733365,3.4145545100456913,8.606203273565797
TKM,2004,Turkmenistan,1.520818,1.362683,21.850417,2.883501,2.883501,136,0.150284346886028,0.0310985648667171,0.00452305424038272,0.127940326823115,0.0397190744487631,0.896599571590685,0.0654310854933026,0.12662632115798,2565.44995117188,2.11267375946045,26.5,4774195,4766009,TM,Turkmenistan,2593.51525381597,5808.66339495376,3.93649483293852,NA,4703398,Europe & Central Asia,0.022585384918959988,9.671207367694111e-4,0.016368727227605483,2.0458019661444107e-5,0.001577604875066386,9.036231,20.12761,1353.418584,0.0654310854933026,1.76852,0.08071,28.78911,0.151401793880101,0.02292250319011259,0.0300959559997694,9.057665675400558e-4,0.00458181998249783,2.0993074352016413e-5,0.128218888923621,0.016440083476807858,0.0399161163178694,0.0015932963419016796,5588.66585244217,8.791329,19.5072,1597.598128,no leverage,0.06718987846723126,0.0654310854933026,0.0680692749541956,0,-0.2477020000000001,0.2449020000000015,1.281973,0.6204099999999997,-6.938693000000001,-244.17954400000008,2.013422000000001,0.08070999999999984,28.789110000000164,0.06894867144115993,0.0680692749541956,0.5701430386183944,-2.516892795645856,3.359997190634616,8.628495870837599
TKM,2005,Turkmenistan,1.900441,2.300272,36.429854,4.200713,4.200713,136,0.150284346886028,0.0305950632343619,0.00452305424038272,0.127940326823115,0.0397190744487631,0.896599571590685,0.0654310854933026,0.12662632115798,2865.2900390625,2.05867266654968,26.5,4843187,4833266,TM,Turkmenistan,2899.96019143293,6495.00425571618,11.8158139677826,NA,4754641,Europe & Central Asia,0.022585384918959988,9.360578943146033e-4,0.016368727227605483,2.0458019661444107e-5,0.001577604875066386,10.936672,22.427882,1389.848438,0.0654310854933026,1.520818,1.362683,21.850417,0.150284346886028,0.022585384918959988,0.0310985648667171,9.671207367694111e-4,0.00452305424038272,2.0458019661444107e-5,0.127940326823115,0.016368727227605483,0.0397190744487631,0.001577604875066386,5808.66339495376,10.312147,20.869883,1619.448545,no leverage,0.0654310854933026,0.0654310854933026,0.0667501802237491,0,0.37962300000000004,0.6245250000000002,0.937589,1.5579989999999988,14.579436999999999,-229.60010699999998,2.1453430000000004,1.3626830000000005,21.85041699999988,0.06718987846723126,0.0654310854933026,0.41924834799789373,0.3094555504628284,3.084220006027681,8.667105770876164
TKM,2006,Turkmenistan,2.690824,0.896354,17.732928,3.587178,3.587178,136,0.150284346886028,0.0290669585706697,0.0041542183989484,0.132380327178153,0.0394179244116071,0.894118172870528,0.0654310854933026,0.12662632115798,3142.26000976562,2.09684014320374,26.5,4910681,4899456,TM,Turkmenistan,3181.07379427164,7124.61084554834,9.69370557806872,NA,4810105,Europe & Central Asia,0.022585384918959988,8.448880805490287e-4,0.017524551023794837,1.7257530506161408e-5,0.0015537727649191711,13.627496,23.324236,1407.581366,0.0654310854933026,1.900441,2.300272,36.429854,0.150284346886028,0.022585384918959988,0.0305950632343619,9.360578943146033e-4,0.00452305424038272,2.0458019661444107e-5,0.127940326823115,0.016368727227605483,0.0397190744487631,0.001577604875066386,6495.00425571618,12.212588,23.170155,1655.878399,no leverage,0.0654310854933026,0.0654310854933026,0.0654310854933026,0,0.7903830000000001,1.4149080000000005,-1.403918,0.15408099999999791,-18.696925999999998,-248.29703300000006,3.315349000000001,2.3002719999999997,36.42985399999998,0.0654310854933026,0.0654310854933026,0.6420859645032935,0.8330273768124039,3.5953886033264686,8.778788584334075
TKM,2007,Turkmenistan,5.026282,4.40113,185.685011,9.427412,9.427412,136,0.0870070999655842,0.0267502598499315,0.00556561169402853,0.118837523710191,0.0311216522834946,0.895552762781429,0.0848352500743231,0.12662632115798,3449.6201171875,2.08498954772949,26.5,4977388,NA,TM,Turkmenistan,3489.33006163966,7815.00851870301,9.69032117152125,NA,4870137,Europe & Central Asia,0.007570235444421162,7.155764020388572e-4,0.01412235704157021,3.0976033528707123e-5,9.685572408547446e-4,18.653778,27.725366,1593.266377,0.0654310854933026,2.690824,0.896354,17.732928,0.150284346886028,0.022585384918959988,0.0290669585706697,8.448880805490287e-4,0.0041542183989484,1.7257530506161408e-5,0.132380327178153,0.017524551023794837,0.0394179244116071,0.0015537727649191711,7124.61084554834,14.903412,24.066509,1673.611327,no leverage,0.07189914035364277,0.07513316778381285,0.07028212663855772,0.01940416458102051,2.335458,3.7503659999999996,3.504776,3.658857000000001,167.95208300000002,-80.34495000000015,6.441189999999999,0.8963539999999988,17.73292800000013,0.0654310854933026,0.0654310854933026,0.9898474664100485,-0.10941985474871302,2.8754232502754036,8.871310385476571
TKM,2008,Turkmenistan,5.379922,2.321606,31.601806,7.701528,7.701528,136,0.151695082222634,0.0324493801216595,0.0106804299326432,0.128725654259008,0.03994988036746,0.900581353492819,0.102364429905483,0.12662632115798,3913.17993164062,2.8117311000824,26.5,5043615,NA,TM,Turkmenistan,3949.0482336565,8844.63350890128,13.1749695183844,NA,4935762,Europe & Central Asia,0.02301139797053169,0.001052962270279951,0.016570294064409664,1.1407158354610084e-4,0.001595992941374366,24.0337,30.046972,1624.868183,0.0848352500743231,5.026282,4.40113,185.685011,0.0870070999655842,0.007570235444421162,0.0267502598499315,7.155764020388572e-4,0.00556561169402853,3.0976033528707123e-5,0.118837523710191,0.01412235704157021,0.0311216522834946,9.685572408547446e-4,7815.00851870301,19.929694,28.467639000000002,1859.296338,no leverage,0.0842102551577029,0.09359983998990305,0.07951546274160282,0.017529179831159897,0.3536399999999995,4.104005999999998,-2.079524,1.5793329999999983,-154.083205,-234.42815500000006,9.130288,4.401130000000002,185.68501100000003,0.07189914035364277,0.07513316778381285,1.614680545784559,1.4818613261338895,5.224051748891992,8.963801332900154
TKM,2009,Turkmenistan,2.981452,2.167061,14.604216,5.148513,5.148513,136,0.150254431976089,0.0324791858502541,0.0153037153741884,0.128377023825454,0.0456154373884281,0.917415300621011,0.0713162820847961,0.12662632115798,4104.259765625,2.84999990463257,26.5,5109880,NA,TM,Turkmenistan,4129.54353076907,9248.88654876926,4.57060249541313,NA,5007950,Europe & Central Asia,0.02257639432845716,0.001054897513495346,0.01648066024628118,2.3420370425417038e-4,0.002080768128137604,27.015152,32.214033,1639.472399,0.102364429905483,5.379922,2.321606,31.601806,0.151695082222634,0.02301139797053169,0.0324493801216595,0.001052962270279951,0.0106804299326432,1.1407158354610084e-4,0.128725654259008,0.016570294064409664,0.03994988036746,0.001595992941374366,8844.63350890128,25.309616,30.789245,1890.898144,no leverage,0.0861719873548674,0.08684035599513955,0.0809867618894762,-0.031048147820686905,-2.3984699999999997,1.7055360000000022,-0.15454500000000015,1.4247879999999995,-16.997590000000002,-251.425745,7.085457999999999,2.321605999999999,31.601805999999897,0.0842102551577029,0.09359983998990305,1.6826738759273299,0.8422591875689815,3.453214270858493,9.087566170902345
TKM,2010,Turkmenistan,2.030712,6.354354,45.110099,8.385066,8.385066,136,0.150915419453336,0.029552153563488,0.0151146398378805,0.128747142882648,0.0457175474381679,0.918022437862566,0.0511416164222143,0.12662632115798,4431.919921875,NA,26.5,5176502,NA,TM,Turkmenistan,4439.20300021757,9942.4269559212,7.49863676557074,NA,5087210,Europe & Central Asia,0.022775463828776345,8.733297802399765e-4,0.016575826800444976,2.2845233742884428e-4,0.0020900941437611326,29.045863999999998,38.568387,1684.582498,0.0713162820847961,2.981452,2.167061,14.604216,0.150254431976089,0.02257639432845716,0.0324791858502541,0.001054897513495346,0.0153037153741884,2.3420370425417038e-4,0.128377023825454,0.01648066024628118,0.0456154373884281,0.002080768128137604,9248.88654876926,28.291068,32.956306,1905.50236,no leverage,0.07494077613749779,0.061228949253505194,0.07741439462170413,-0.020174665662581796,-0.9507400000000001,0.7547959999999989,4.187293,5.612081000000003,30.505882999999997,-220.91986199999997,3.736248,2.167060999999997,14.604215999999951,0.0861719873548674,0.08684035599513955,1.0924104301725424,0.773371871673491,2.6813102541523772,9.132258450155021
TKM,2011,Turkmenistan,2.401682,9.183451,78.561665,11.585133,11.585133,136,0.149604854588268,0.0282742673304181,0.0133509614918908,0.128442960836074,0.0455060688230566,0.924262478830294,0.0511416164222143,0.12662632115798,NA,NA,26.5,NA,NA,TM,Turkmenistan,5006.29623210365,11212.5385130967,12.7746631964856,NA,5174061,Europe & Central Asia,0.02238161251637681,7.994341930719483e-4,0.016497594188337242,1.7824817275795103e-4,0.0020708022997287636,31.447546,47.751838,1763.144163,0.0511416164222143,2.030712,6.354354,45.110099,0.150915419453336,0.022775463828776345,0.029552153563488,8.733297802399765e-4,0.0151146398378805,2.2845233742884428e-4,0.128747142882648,0.016575826800444976,0.0457175474381679,0.0020900941437611326,9942.4269559212,30.32178,39.31066,1950.612459,no leverage,0.057866504976408224,0.0511416164222143,0.06899098620867693,0,0.37097000000000024,1.1257659999999987,2.829097,8.441178,33.45156600000001,-187.468296,3.156478,6.354354000000001,45.11009899999999,0.07494077613749779,0.061228949253505194,0.7083864704754369,1.8491402472321492,3.809106146053232,9.204566430403736
TKM,2012,Turkmenistan,1.746199,4.348199,13.584755,6.094398,6.094398,136,0.156267741424992,0.0307332938227711,0.0139488980990677,0.138974054363819,0.0396243277827887,0.938301185676464,0.0511416164222143,0.12662632115798,NA,NA,26.5,NA,NA,TM,Turkmenistan,5462.98054873965,12235.3686156727,9.12219923598283,NA,5267839,Europe & Central Asia,0.02441960701006816,9.445353491967803e-4,0.019313787786317715,1.9457175817817448e-4,0.0015700873522378807,33.193745,52.100037,1776.728918,0.0511416164222143,2.401682,9.183451,78.561665,0.149604854588268,0.02238161251637681,0.0282742673304181,7.994341930719483e-4,0.0133509614918908,1.7824817275795103e-4,0.128442960836074,0.016497594188337242,0.0455060688230566,0.0020708022997287636,11212.5385130967,32.723462,48.494111,2029.1741240000001,no leverage,0.0511416164222143,0.0511416164222143,0.05618528283785974,0,-0.655483,0.470283000000002,-4.835252,3.6059260000000037,-64.97691,-252.4452060000001,2.8719649999999994,9.183450999999998,78.56166500000018,0.057866504976408224,0.0511416164222143,0.8761693252182347,2.2174030599158776,4.363883857813474,9.324787941196979
